STOCK_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,ADJ_CLOSE_PRICE,VOLUME,TICKER
2006-03-01,16.82,16.96,16.63,16.79,15.00,25215775,EBAY
2006-03-02,16.74,16.99,16.63,16.93,15.12,31351320,EBAY
2006-03-03,16.99,17.34,16.91,16.99,15.17,29702614,EBAY
2006-03-06,16.63,17.07,16.68,16.76,14.96,18816019,EBAY
2006-03-07,16.32,16.77,16.32,16.38,14.63,26355305,EBAY
2006-03-08,16.18,16.33,15.56,15.85,14.16,55192579,EBAY
2006-03-09,15.81,16.19,15.57,15.93,14.23,24626190,EBAY
2006-03-10,15.82,16.04,15.64,15.94,14.24,26257176,EBAY
2006-03-13,15.90,16.04,15.64,15.86,14.17,25242942,EBAY
2006-03-14,16.54,16.61,15.86,16.46,14.70,23297155,EBAY
2006-03-15,17.22,17.22,16.09,16.19,14.45,27819542,EBAY
2006-03-16,16.14,16.38,16.10,16.16,14.43,17377589,EBAY
2006-03-20,15.96,16.38,16.10,16.19,14.45,21909988,EBAY
2006-03-21,15.96,16.45,15.91,15.96,14.25,20938738,EBAY
2006-03-22,15.86,16.21,15.83,15.94,14.24,25358573,EBAY
2006-03-23,15.96,16.33,15.66,15.72,14.04,30764448,EBAY
2006-03-24,15.95,16.08,15.62,15.70,14.02,29019751,EBAY
2006-03-27,15.76,15.82,15.61,15.64,13.96,20312186,EBAY
2006-03-28,15.59,16.44,15.54,16.36,14.61,54532289,EBAY
2006-03-29,16.33,16.74,16.27,16.55,14.78,34997292,EBAY
2006-03-30,16.56,16.68,16.31,16.55,14.78,23259139,EBAY
2006-03-31,16.62,16.67,16.37,16.41,14.66,17340286,EBAY
2006-04-03,16.54,16.59,16.38,16.41,14.66,19546639,EBAY
2006-04-04,16.42,16.65,16.37,16.58,14.81,18589111,EBAY
2006-04-05,16.55,16.62,16.15,16.22,14.48,38290428,EBAY
2006-04-06,16.22,16.59,16.13,16.33,14.58,25034724,EBAY
2006-04-07,16.43,16.64,16.03,16.10,14.38,26585302,EBAY
2006-04-10,16.12,16.19,15.86,16.03,14.32,20593742,EBAY
2006-04-11,16.12,16.25,15.99,16.13,14.40,21589524,EBAY
2006-04-12,16.09,16.30,16.08,16.19,14.46,13355258,EBAY
2006-04-13,16.22,16.37,16.12,16.24,14.51,17850413,EBAY
2006-04-17,16.17,16.37,15.83,16.01,14.29,16845840,EBAY
2006-04-18,16.08,16.41,15.95,16.36,14.61,23665198,EBAY
2006-04-19,16.70,17.18,16.67,16.98,15.17,62456962,EBAY
2006-04-20,15.93,16.41,15.44,15.48,13.82,112863089,EBAY
2006-04-21,15.61,15.62,14.67,14.77,13.19,136207289,EBAY
2006-04-24,14.64,14.78,14.61,14.70,13.13,56314526,EBAY
2006-04-25,14.78,14.81,14.39,14.52,12.96,51161695,EBAY
2006-04-26,14.54,14.60,14.34,14.40,12.86,54117202,EBAY
2006-04-27,14.32,14.66,14.14,14.62,13.05,60799702,EBAY
2006-04-28,14.62,14.79,14.47,14.48,12.93,35666374,EBAY
2006-05-01,14.53,14.62,14.34,14.44,12.90,32514134,EBAY
2006-05-02,14.52,14.65,14.48,14.62,13.06,25794094,EBAY
2006-05-03,14.60,14.73,14.23,14.38,12.84,29482596,EBAY
2006-05-04,14.34,14.63,14.28,14.36,12.82,45622289,EBAY
2006-05-05,14.40,14.44,13.47,13.63,12.17,129535243,EBAY
2006-05-08,13.70,13.89,13.09,13.18,11.77,125894261,EBAY
2006-05-09,13.29,13.67,13.18,13.41,11.98,82334340,EBAY
2006-05-10,13.48,13.78,13.47,13.72,12.25,47716495,EBAY
2006-05-11,13.75,13.80,13.38,13.48,12.04,35543772,EBAY
2006-05-12,13.39,13.61,13.24,13.25,11.84,38707178,EBAY
2006-05-15,13.19,13.40,13.01,13.14,11.74,38000318,EBAY
2006-05-16,13.16,13.31,12.71,12.74,11.38,54905558,EBAY
2006-05-17,12.68,12.82,12.34,12.42,11.09,76685400,EBAY
2006-05-18,12.46,12.62,12.23,12.47,11.14,50277110,EBAY
2006-05-19,12.59,12.63,12.30,12.50,11.16,68363698,EBAY
2006-05-22,12.30,12.56,12.15,12.53,11.19,48163658,EBAY
2006-05-23,12.66,12.95,12.60,12.65,11.30,52594898,EBAY
2006-05-24,12.72,12.89,12.39,12.71,11.35,52105205,EBAY
2006-05-25,13.80,14.31,13.52,14.26,12.73,132070435,EBAY
2006-05-26,14.48,14.57,14.17,14.39,12.86,61320758,EBAY
2006-05-30,14.32,14.35,13.93,13.98,12.48,45714240,EBAY
2006-05-31,13.98,14.02,3.62,13.81,12.33,48151303,EBAY
2006-03-01,2.46,2.48,2.43,2.47,2.07,737817600,AAPL
2006-03-02,2.46,2.50,2.45,2.49,2.09,625273600,AAPL
2006-03-03,2.27,2.29,2.24,2.24,1.88,815791200,AAPL
2006-03-06,2.42,2.42,2.32,2.34,1.96,912665600,AAPL
2006-03-07,2.35,2.39,2.32,2.37,1.99,872877600,AAPL
2006-03-08,2.37,2.40,2.33,2.35,1.97,653251200,AAPL
2006-03-09,2.36,2.37,2.28,2.28,1.92,799304800,AAPL
2006-03-10,2.29,2.30,2.23,2.26,1.90,1043142800,AAPL
2006-03-13,2.32,2.37,2.31,2.35,1.97,861187200,AAPL
2006-03-14,2.35,2.40,2.34,2.40,2.02,642020400,AAPL
2006-03-15,2.42,2.43,2.34,2.37,1.99,891996000,AAPL
2006-03-16,2.39,2.39,2.30,2.30,1.93,749638400,AAPL
2006-03-17,2.31,2.34,2.29,2.31,1.94,812042000,AAPL
2006-03-20,2.33,2.34,2.28,2.29,1.92,605441200,AAPL
2006-03-21,2.22,2.30,2.19,2.21,1.85,1345366400,AAPL
2006-03-22,2.22,2.26,2.19,2.20,1.85,1345895600,AAPL
2006-03-23,2.21,2.21,2.13,2.15,1.80,1427826400,AAPL
2006-03-24,2.15,2.18,2.11,2.14,1.80,1071980000,AAPL
2006-03-27,2.16,2.19,2.12,2.13,1.78,1108072000,AAPL
2006-03-28,2.13,2.15,2.08,2.10,1.76,1370322800,AAPL
2006-03-29,2.11,2.23,2.06,2.23,1.87,2346650000,AAPL
2006-03-30,2.24,2.26,2.20,2.24,1.88,1390650800,AAPL
2006-03-31,2.26,2.27,2.22,2.24,1.88,815357200,AAPL
2006-04-03,2.39,2.39,2.34,2.34,1.97,707028000,AAPL
2006-04-04,2.22,2.25,2.18,2.22,1.86,931924000,AAPL
2006-04-05,2.31,2.40,2.29,2.40,2.02,2233408800,AAPL
2006-04-06,2.44,2.57,2.44,2.54,2.14,2663768800,AAPL
2006-04-07,2.53,2.54,2.45,2.49,2.09,1545238800,AAPL
2006-04-10,2.51,2.53,2.44,2.45,2.06,903515200,AAPL
2006-04-11,2.46,2.47,2.40,2.43,2.04,939316000,AAPL
2006-04-12,2.43,2.43,2.37,2.38,2.00,739894400,AAPL
2006-04-13,2.37,2.41,2.36,2.37,1.99,734678400,AAPL
2006-04-17,2.38,2.39,2.30,2.31,1.94,721938000,AAPL
2006-04-18,2.32,2.37,2.31,2.37,1.99,794844400,AAPL
2006-04-19,2.39,2.39,2.34,2.34,1.97,1086033200,AAPL
2006-04-20,2.48,2.50,2.36,2.42,2.03,1666982800,AAPL
2006-04-21,2.44,2.45,2.37,2.39,2.01,788986800,AAPL
2006-04-24,2.39,2.39,2.34,2.36,1.97,707028000,AAPL
2006-04-25,2.36,2.38,2.34,2.36,1.98,529062800,AAPL
2006-04-26,2.38,2.44,2.37,2.43,2.04,710886400,AAPL
2006-04-27,2.42,2.49,2.41,2.48,2.08,845947200,AAPL
2006-04-28,2.48,2.55,2.47,2.51,2.11,760037600,AAPL
2006-05-01,2.53,2.56,2.47,2.49,2.09,750380400,AAPL
2006-05-02,2.51,2.57,2.50,2.56,2.15,771663200,AAPL
