"CATEGORY","hour","weekday","TOTAL_SEARCHES","TOTAL_CLICKS","CTR_PERCENTAGE"
Brand/Games,"00",,286,187,65.38461538461539
Brand/Games,"01",,134,77,57.462686567164184
Brand/Games,"02",,82,45,54.87804878048781
Brand/Games,"03",,84,52,61.90476190476191
Brand/Games,"04",,39,25,64.1025641025641
Brand/Games,"05",,49,15,30.612244897959187
Brand/Games,"06",,59,41,69.49152542372882
Brand/Games,"07",,146,110,75.34246575342466
Brand/Games,"08",,249,159,63.855421686746986
Brand/Games,"09",,287,194,67.59581881533101
Brand/Games,"10",,361,221,61.21883656509696
Brand/Games,"11",,423,256,60.520094562647756
Brand/Games,"12",,360,203,56.388888888888886
Brand/Games,"13",,436,242,55.5045871559633
Brand/Games,"14",,396,252,63.63636363636364
Brand/Games,"15",,373,222,59.51742627345844
Brand/Games,"16",,496,327,65.92741935483872
Brand/Games,"17",,519,312,60.11560693641619
Brand/Games,"18",,531,315,59.32203389830508
Brand/Games,"19",,519,292,56.26204238921002
Brand/Games,"20",,451,273,60.532150776053214
Brand/Games,"21",,556,325,58.45323741007194
Brand/Games,"22",,519,299,57.61078998073218
Brand/Games,"23",,486,299,61.522633744855966
Brand/Games,,friday   ,1073,684,63.746505125815474
Brand/Games,,monday   ,1209,754,62.36559139784947
Brand/Games,,saturday ,1188,752,63.2996632996633
Brand/Games,,sunday   ,1366,870,63.6896046852123
Brand/Games,,thursday ,878,507,57.74487471526196
Brand/Games,,tuesday  ,1032,563,54.55426356589147
Brand/Games,,wednesday,1095,613,55.981735159817354
Brand/Games,,,7841,4743,60.489733452365776
Brand/General,"00",,9021,3942,43.69803791153974
Brand/General,"01",,5568,2392,42.95977011494253
Brand/General,"02",,3573,1550,43.380912398544645
Brand/General,"03",,2265,933,41.19205298013245
Brand/General,"04",,1707,793,46.45577035735208
Brand/General,"05",,1843,841,45.63212154096582
Brand/General,"06",,3300,1561,47.303030303030305
Brand/General,"07",,5054,2420,47.88286505738029
Brand/General,"08",,6905,3124,45.242577842143376
Brand/General,"09",,9156,4119,44.98689384010485
Brand/General,"10",,10413,4530,43.50331316623451
Brand/General,"11",,10985,4835,44.014565316340466
Brand/General,"12",,11306,4868,43.05678400849107
Brand/General,"13",,11623,4949,42.57936849350426
Brand/General,"14",,11941,5151,43.137090695921614
Brand/General,"15",,12903,5447,42.214988762303335
Brand/General,"16",,13598,5826,42.84453596117076
Brand/General,"17",,14662,6359,43.37061792388487
Brand/General,"18",,16340,7259,44.424724602203185
Brand/General,"19",,18252,8171,44.76769669077361
Brand/General,"20",,19586,9000,45.95118962524253
Brand/General,"21",,20462,9231,45.112892190401716
Brand/General,"22",,17802,8118,45.601617795753285
Brand/General,"23",,13007,5707,43.87637426001384
Brand/General,,friday   ,33137,14805,44.6781543289978
Brand/General,,monday   ,36000,16584,46.06666666666667
Brand/General,,saturday ,37023,16437,44.39672635929017
Brand/General,,sunday   ,40925,18414,44.99450213805743
Brand/General,,thursday ,34564,14763,42.7120703622266
Brand/General,,tuesday  ,34967,14862,42.50293133525896
Brand/General,,wednesday,34656,15261,44.03566481994459
Brand/General,,,251272,111126,44.22538126014837
Brand/Music,"00",,204,83,40.68627450980392
Brand/Music,"01",,119,47,39.49579831932773
Brand/Music,"02",,70,29,41.42857142857143
Brand/Music,"03",,62,31,50.0
Brand/Music,"04",,16,6,37.5
Brand/Music,"05",,20,10,50.0
Brand/Music,"06",,48,24,50.0
Brand/Music,"07",,80,22,27.5
Brand/Music,"08",,87,42,48.275862068965516
Brand/Music,"09",,169,71,42.01183431952663
Brand/Music,"10",,187,87,46.524064171122994
Brand/Music,"11",,221,95,42.98642533936651
Brand/Music,"12",,212,76,35.84905660377358
Brand/Music,"13",,237,110,46.413502109704645
Brand/Music,"14",,306,121,39.54248366013072
Brand/Music,"15",,305,121,39.67213114754099
Brand/Music,"16",,366,128,34.97267759562842
