"CATEGORY","THISDOMAIN","DOMAIN_CLICK_COUNT","DOMAIN_RANK_WITHIN_CATEGORY"
Brand/Games,amazon,100,1
Brand/Games,nextag,82,2
Brand/Games,steamboat,76,3
Brand/Games,about,75,4
Brand/Games,bizrate,57,5
Brand/General,ebay,80942,1
Brand/General,motors.ebay,11626,2
Brand/General,amazon,9893,3
Brand/General,listings.ebay,1172,4
Brand/General,search.ebay,555,5
Brand/Music,apple,1531,1
Brand/Music,itunes,99,2
Brand/Music,kavasoft,17,3
Brand/Music,digg,16,4
Brand/Music,download,12,5
Brand/Music,com,12,5
Brand/Reading,audible,28,1
Brand/Reading,yahoo,2,2
Brand/Reading,typepad,1,3
Brand/Reading,audio-bible,1,3
Brand/Reading,sandisk,1,3
Brand/Reading,pocketpcmag,1,3
Brand/Reading,freeyahooaudibles,1,3
Brand/Reading,tc.columbia,1,3
Brand/Reading,cnet,1,3
Brand/Reading,papervixen,1,3
Brand/Reading,wackyb.co,1,3
Brand/Reading,daniel-park,1,3
Brand/Reading,yukoncollege.yk,1,3
Brand/Reading,softpedia,1,3
Brand/Reading,irasov,1,3
Brand/Reading,audible.co,1,3
Brand/Reading,npr,1,3
Brand/Reading,microsoft,1,3
Brand/Reading,avantgo,1,3
Brand/Reading,palmone,1,3
Brand/Reading,amazon,1,3
Brand/Reading,lcfanfic,1,3
Brand/Reading,a-z-music-lyrics,1,3
Brand/Reading,audible-ism,1,3
Brand/Reading,eblah,1,3
Brand/Reading,download,1,3
Brand/Reading,trincoll,1,3
Brand/Reading,"41.125",1,3
Media/Digital,download,3847,1
Media/Digital,microsoft,1359,2
Media/Digital,freedownloadscenter,1316,3
Media/Digital,aol,956,4
Media/Digital,about,946,5
Media/Music,ringtonesgalore.co,586,1
Media/Music,mp3,513,2
Media/Music,about,508,3
Media/Music,nextpimp,478,4
Media/Music,sprintusers,411,5
Media/Reading,facebook,7526,1
Media/Reading,kbb,2188,2
Media/Reading,autonews24h,234,3
Media/Reading,abebooks,208,4
Media/Reading,amazon,126,5
Software/Tech,freedownloadscenter,350,1
Software/Tech,about,281,2
Software/Tech,microsoft,218,3
Software/Tech,download,196,4
Software/Tech,symantec,131,5
